"Date","Price","Open","High","Low","Vol.","Change %"
"05/23/2023","23,470.0","23,444.0","23,482.5","23,442.5","","0.14%"
"05/22/2023","23,438.0","23,455.0","23,467.5","23,438.0","","-0.09%"
"05/19/2023","23,460.0","23,465.0","23,546.0","23,427.5","","0.04%"
"05/18/2023","23,450.0","23,455.0","23,460.0","23,411.0","","0.00%"
"05/17/2023","23,450.0","23,455.0","23,455.5","23,446.5","","0.00%"
"05/16/2023","23,450.0","23,457.0","23,472.5","23,449.0","","-0.03%"
"05/15/2023","23,458.0","23,464.0","23,471.5","23,446.5","","0.03%"
"05/12/2023","23,450.0","23,460.0","23,475.0","23,455.0","","-0.06%"
"05/11/2023","23,465.0","23,470.0","23,475.0","23,462.5","","0.00%"
"05/10/2023","23,465.0","23,467.5","23,475.0","23,449.5","","0.02%"
"05/09/2023","23,460.0","23,452.5","23,469.0","23,448.0","","0.07%"
"05/08/2023","23,443.0","23,450.0","23,460.0","23,444.0","","0.01%"
"05/05/2023","23,440.0","23,452.5","23,455.0","23,445.0","","-0.02%"
"05/04/2023","23,445.0","23,452.5","23,457.5","23,444.5","","-0.02%"
"05/03/2023","23,450.0","23,450.0","23,450.0","23,450.0","","0.00%"
"05/02/2023","23,450.0","23,450.0","23,450.0","23,450.0","","0.00%"
"05/01/2023","23,450.0","23,450.0","23,450.0","23,450.0","","0.00%"
"04/28/2023","23,450.0","23,455.0","23,483.0","23,451.0","","0.02%"
"04/27/2023","23,445.0","23,475.0","23,492.5","23,455.0","","-0.09%"
"04/26/2023","23,465.0","23,492.5","23,495.0","23,472.5","","-0.03%"
"04/25/2023","23,473.0","23,480.0","23,496.0","23,473.0","","-0.09%"
"04/24/2023","23,494.0","23,490.0","23,497.0","23,477.5","","0.04%"
"04/21/2023","23,485.0","23,492.5","23,508.5","23,450.0","","-0.01%"
"04/20/2023","23,488.0","23,500.0","23,562.5","23,482.5","","-0.10%"
"04/19/2023","23,511.0","23,517.5","23,518.0","23,452.0","","0.03%"
"04/18/2023","23,505.0","23,510.0","23,517.0","23,472.5","","0.09%"
"04/17/2023","23,485.0","23,455.0","23,495.0","23,446.5","","0.19%"
"04/14/2023","23,440.0","23,445.5","23,451.0","23,442.5","","0.00%"
"04/13/2023","23,440.0","23,447.0","23,453.5","23,440.0","","-0.01%"
"04/12/2023","23,442.0","23,450.0","23,454.5","23,445.0","","-0.01%"
"04/11/2023","23,445.0","23,447.0","23,457.0","23,444.0","","0.02%"
"04/10/2023","23,440.0","23,450.0","23,452.5","23,442.0","","-0.01%"
"04/07/2023","23,442.0","23,450.0","23,460.0","23,444.5","","-0.04%"
"04/06/2023","23,451.0","23,457.5","23,475.0","23,447.5","","-0.06%"
"04/05/2023","23,465.0","23,470.0","23,497.5","23,455.0","","0.02%"
"04/04/2023","23,460.0","23,485.0","23,495.0","23,456.0","","-0.04%"
